"","gleba","mes","evi_mean","evi_sd","evi_max","evi_min","evi_cv"
"1","Gleba 1","Jan",0.578487838884586,0.1899673295026,0.9976,0.0625,32.8386038103906
"2","Gleba 1","Feb",0.58222484984985,0.145547996858542,0.9928,0.1525,24.9985889293591
"3","Gleba 1","Mar",0.440993255131965,0.180531574372802,0.9226,0.0671,40.9374910550001
"4","Gleba 1","Apr",0.38857711927982,0.173954206100121,0.6519,0.0419,44.7669709483986
"5","Gleba 1","May",0.361318108504399,0.162773551326784,0.649,0.0465,45.0499289948549
"6","Gleba 1","Jun",0.322608137829912,0.156253790585675,0.6117,0.0286,48.4345471372008
"7","Gleba 1","Jul",0.276640765765766,0.142107630706616,0.5786,0.0217,51.3690129194264
"8","Gleba 1","Aug",0.228624116743472,0.114033004522691,0.4573,0.021,49.8779420767068
"9","Gleba 1","Sep",0.199851689708141,0.1023366724131,0.4614,0.0351,51.2063083192093
"10","Gleba 1","Oct",0.221246475507766,0.125023525738803,0.596,0.0369,56.508708422076
"11","Gleba 1","Nov",0.264536738351254,0.13527051459921,0.7231,0.0379,51.1348689948677
"12","Gleba 1","Dec",0.369983003952569,0.152048243469745,0.9382,0.052,41.0960076126193
"13","Gleba 2","Jan",0.502826696495153,0.148418263812221,0.9981,0.0045,29.5167827895255
"14","Gleba 2","Feb",0.523837973760933,0.152702295453878,0.9952,0.1097,29.1506731284753
"15","Gleba 2","Mar",0.45298984375,0.151235959106193,0.8777,0.0617,33.3861699534391
"16","Gleba 2","Apr",0.380574273255814,0.162387535458233,0.6875,0.0457,42.6690785136385
"17","Gleba 2","May",0.355564133522727,0.136571911798189,0.6622,0.0692,38.4099235333757
"18","Gleba 2","Jun",0.285352059659091,0.120854173976192,0.6451,0.0643,42.3526552149565
"19","Gleba 2","Jul",0.211098149466192,0.0894038608699503,0.4994,0.0487,42.3517975387409
"20","Gleba 2","Aug",0.167589880952381,0.0641056427655664,0.4051,0.0432,38.2514996736476
"21","Gleba 2","Sep",0.162997321428571,0.0761177845096505,0.4671,0.0421,46.6987947056583
"22","Gleba 2","Oct",0.20967974537037,0.103435630845103,0.5599,0.0508,49.3302920901579
"23","Gleba 2","Nov",0.278711371527778,0.129145082650281,0.7587,0.0467,46.3364956881245
"24","Gleba 2","Dec",0.394049776119403,0.149169920478138,0.8604,0.0492,37.8556034080672
"25","Gleba 3","Jan",0.564403717472119,0.165527445965632,0.9999,0.0945,29.3278447397556
"26","Gleba 3","Feb",0.548578175313059,0.14368948359178,0.9106,0.1489,26.1930733044165
"27","Gleba 3","Mar",0.440717307692308,0.14162464127724,0.8367,0.0743,32.1350305071561
"28","Gleba 3","Apr",0.370828443649374,0.151640729306117,0.6545,0.0586,40.8924212538282
"29","Gleba 3","May",0.342350699300699,0.136594389974625,0.6111,0.0642,39.8989662511684
"30","Gleba 3","Jun",0.278140559440559,0.11740687004233,0.5112,0.0533,42.2113446088112
"31","Gleba 3","Jul",0.226605769230769,0.102413899004064,0.4812,0.0404,45.1947447550501
"32","Gleba 3","Aug",0.200645604395604,0.0885328726016609,0.4728,0.0361,44.1240030492293
"33","Gleba 3","Sep",0.199083882783883,0.0953053196833325,0.5149,0.0473,47.8719413900481
"34","Gleba 3","Oct",0.244106267806268,0.114778616552672,0.5172,0.0481,47.019938317915
"35","Gleba 3","Nov",0.31113141025641,0.127641150220838,0.607,0.0558,41.0248358131525
"36","Gleba 3","Dec",0.41329641509434,0.152785073865865,0.8842,0.0597,36.9674326429834
"37","Gleba 4","Jan",0.518152457865169,0.153802542893674,0.9993,0.0036,29.6828743276358
"38","Gleba 4","Feb",0.53688726899384,0.149581595049446,0.97,0.1246,27.8608943977702
"39","Gleba 4","Mar",0.448867179144385,0.153589787752975,0.9226,0.0623,34.2172016331742
"40","Gleba 4","Apr",0.363430848153215,0.158890865905303,0.6832,0.0417,43.7196970792965
"41","Gleba 4","May",0.335144117647059,0.140675693141922,0.6247,0.052,41.9746866302059
"42","Gleba 4","Jun",0.27287179144385,0.119761239757389,0.6046,0.0286,43.8891976058406
"43","Gleba 4","Jul",0.210963101604278,0.0914514937430319,0.4767,0.0228,43.3495208629306
"44","Gleba 4","Aug",0.177600910364146,0.0711603224051497,0.4231,0.0242,40.067543718805
"45","Gleba 4","Sep",0.169528291316527,0.0832555667102726,0.4765,0.0396,49.1101314498746
"46","Gleba 4","Oct",0.213994880174292,0.112262039455273,0.6074,0.0391,52.4601520203846
"47","Gleba 4","Nov",0.300424918300654,0.133142091791808,0.7152,0.0379,44.3179256051471
"48","Gleba 4","Dec",0.40265297029703,0.155426758584758,0.8757,0.0388,38.6006735452871
