,NDVI,EVI,PH,MO,P,K,Ca,Mg,CTC,V%,S,B,Cu,Fe,Mn,Zn
NDVI,1,0.87959925,0.254806575,-0.135448082,0.277312216,0.222893835,0.167089665,0.177218778,-0.002664209,0.245997811,0.01682583,-0.104549132,0.172087588,0.255539754,0.254490202,0.100353047
EVI,0.87959925,1,0.179922083,-0.177448463,0.337791819,0.133864175,0.072110321,0.081104152,-0.081734409,0.143510983,-0.025574732,-0.157749884,0.073830964,0.191019104,0.130631627,0.060636289
PH,0.254806575,0.179922083,1,0.203485282,0.356221568,0.272406387,0.666163977,0.736812511,0.398648243,0.785655842,-0.056692495,-0.054755274,0.254458801,0.198359074,0.168627709,0.177223518
MO,-0.135448082,-0.177448463,0.203485282,1,-0.016755165,0.024746106,0.489258714,0.26924489,0.622029475,0.307523185,0.289292396,0.282123773,0.106404831,0.048065475,-0.200978817,0.12852724
P,0.277312216,0.337791819,0.356221568,-0.016755165,1,0.178891836,0.277417127,0.323473004,0.1336044,0.349046643,-0.065223099,-0.133462785,0.280496572,0.411824188,0.270478229,0.424604297
K,0.222893835,0.133864175,0.272406387,0.024746106,0.178891836,1,0.311656128,0.376186156,0.275520672,0.381727822,0.004721106,0.128626279,0.084496206,0.306832095,0.371553499,0.231712717
Ca,0.167089665,0.072110321,0.666163977,0.489258714,0.277417127,0.311656128,1,0.837743252,0.878010588,0.929940432,0.42169131,0.408359712,0.069830976,0.225592443,0.247049872,0.354309407
Mg,0.177218778,0.081104152,0.736812511,0.26924489,0.323473004,0.376186156,0.837743252,1,0.701155125,0.894683991,0.166719002,0.213497394,0.170907038,0.232775334,0.338664946,0.379985313
CTC,-0.002664209,-0.081734409,0.398648243,0.622029475,0.1336044,0.275520672,0.878010588,0.701155125,1,0.704288386,0.51095066,0.527982481,-0.047652412,0.11789088,0.103901575,0.272183973
V%,0.245997811,0.143510983,0.785655842,0.307523185,0.349046643,0.381727822,0.929940432,0.894683991,0.704288386,1,0.239054567,0.23377776,0.170847871,0.299320481,0.358561694,0.394301735
S,0.01682583,-0.025574732,-0.056692495,0.289292396,-0.065223099,0.004721106,0.42169131,0.166719002,0.51095066,0.239054567,1,0.529994274,-0.161006416,-0.040013,-0.030252274,0.099024359
B,-0.104549132,-0.157749884,-0.054755274,0.282123773,-0.133462785,0.128626279,0.408359712,0.213497394,0.527982481,0.23377776,0.529994274,1,-0.262450203,-0.111800051,0.039087303,0.00409595
Cu,0.172087588,0.073830964,0.254458801,0.106404831,0.280496572,0.084496206,0.069830976,0.170907038,-0.047652412,0.170847871,-0.161006416,-0.262450203,1,0.476399597,0.329488679,0.301114499
Fe,0.255539754,0.191019104,0.198359074,0.048065475,0.411824188,0.306832095,0.225592443,0.232775334,0.11789088,0.299320481,-0.040013,-0.111800051,0.476399597,1,0.72482717,0.442391651
Mn,0.254490202,0.130631627,0.168627709,-0.200978817,0.270478229,0.371553499,0.247049872,0.338664946,0.103901575,0.358561694,-0.030252274,0.039087303,0.329488679,0.72482717,1,0.434343824
Zn,0.100353047,0.060636289,0.177223518,0.12852724,0.424604297,0.231712717,0.354309407,0.379985313,0.272183973,0.394301735,0.099024359,0.00409595,0.301114499,0.442391651,0.434343824,1
